,Headline,Sentiment,Link,
10,Most Canadians side with Wilson-Raybould believe Trudeau has lost moral authority to govern: Ipsos poll,neutral,https://news.google.com/articles/CAIiEMwepAl6V_PHB5F9dN2GoE0qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU,
11,Trudeau is facing a political civil war,neutral,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS10cnVkZWF1LWlzLWZhY2luZy1hLXBlcnNvbmFsLXZvdGUtb2Ytbm9uLWNvbmZpZGVuY2UtZnJvbS13aXRoaW4taGlzL9IBAA,
12,High-profile resignations a \'blow\' to PM beset by questions about SNC-Lavalin,neutral,https://news.google.com/articles/CAIiEIAQQDCdNCu3V4CUDUheAmoqFggEKg4IACoGCAowqKNmMKjdCjCT1B0,
13,Rex Murphy: Drop the poses Trudeau. You owe this country a real explanation,neutral,https://news.google.com/articles/CBMiamh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb27SAbcBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9vcGluaW9uL3JleC1tdXJwaHktZHJvcC10aGUtcG9zZXMtdHJ1ZGVhdS15b3Utb3dlLXRoaXMtY291bnRyeS1hLXJlYWwtZXhwbGFuYXRpb24vYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
14,OPP veteran says firing was reprisal for lawsuit over hiring of Ford friend,neutral,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtb3BwLXZldGVyYW4tc2F5cy1maXJpbmctYnktZm9yZC1nb3Zlcm5tZW50LWlzLXJlcHJpc2FsLWZvci10YXZlcm5lci_SAccBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9jYW5hZGEvYXJ0aWNsZS1vcHAtdmV0ZXJhbi1zYXlzLWZpcmluZy1ieS1mb3JkLWdvdmVybm1lbnQtaXMtcmVwcmlzYWwtZm9yLXRhdmVybmVyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
15,Fired OPP deputy alleges reprisal for speaking against Doug Ford friend\'s appointment to force,neutral,https://news.google.com/articles/CBMijwFodHRwczovL3d3dy5jYmMuY2EvbmV3cy9jYW5hZGEvdG9yb250by9maXJlZC1vcHAtZGVwdXR5LWFsbGVnZXMtcmVwcmlzYWwtZm9yLXNwZWFraW5nLWFnYWluc3QtZG91Zy1mb3JkLWZyaWVuZC1zLWFwcG9pbnRtZW50LXRvLWZvcmNlLTEuNTA0MzQzNNIBY2h0dHBzOi8vd3d3LWNiYy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jYmMuY2EvYW1wLzEuNTA0MzQzND9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
16,Doug Ford\'s role in OPP turmoil raises questions of political interference,neutral,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS90b3JvbnRvL2RvdWctZm9yZC1vbnRhcmlvLXBvdmluY2lhbC1wb2xpY2Utb3BwLXJvbi10YXZlcm5lci0xLjUwNDM0NDfSAWNodHRwczovL3d3dy1jYmMtY2EuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuY2JjLmNhL2FtcC8xLjUwNDM0NDc_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
17,GOLDSTEIN: Find a new OPP commissioner Premier Ford,neutral,https://news.google.com/articles/CBMiXGh0dHBzOi8vdG9yb250b3N1bi5jb20vb3Bpbmlvbi9jb2x1bW5pc3RzL2dvbGRzdGVpbi1maW5kLWEtbmV3LW9wcC1jb21taXNzaW9uZXItcHJlbWllci1mb3Jk0gGnAWh0dHBzOi8vdG9yb250b3N1bi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90b3JvbnRvc3VuLmNvbS9vcGluaW9uL2NvbHVtbmlzdHMvZ29sZHN0ZWluLWZpbmQtYS1uZXctb3BwLWNvbW1pc3Npb25lci1wcmVtaWVyLWZvcmQvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
18,Is there something rotten in the OPP?,neutral,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vb3Bpbmlvbi9hcnRpY2xlLWlzLXRoZXJlLXNvbWV0aGluZy1yb3R0ZW4taW4tdGhlLW9wcC_SAakBaHR0cHM6Ly93d3ctdGhlZ2xvYmVhbmRtYWlsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVnbG9iZWFuZG1haWwuY29tL2FtcC9vcGluaW9uL2FydGljbGUtaXMtdGhlcmUtc29tZXRoaW5nLXJvdHRlbi1pbi10aGUtb3BwLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
19,Toronto police say 4 children who went missing after movies have been located,neutral,https://news.google.com/articles/CAIiEBjdkpnNmFEpWOcTW-Z1LrEqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXh6QU,
20,Adele Sorella guilty of second-degree murder in deaths of daughters,neutral,https://news.google.com/articles/CBMiRmh0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvYWRlbGUtc29yZWxsYS1tdXJkZXItdHJpYWzSAZYBaHR0cHM6Ly9tb250cmVhbGdhemV0dGUtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvYWRlbGUtc29yZWxsYS1tdXJkZXItdHJpYWwvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
21,Quebec mother found guilty of second-degree murder in daughters\' deaths,neutral,https://news.google.com/articles/CAIiEPN7UDRB2sBQnYzA3xBV1Z8qGQgEKhAIACoHCAow6f-ICzDjj4gDMK2RnwY,
22,Quebec woman guilty of 2nd-degree murder of 2 daughters,neutral,https://news.google.com/articles/CAIiEObY3uAkDHuh1bEzaxwpQqQqFggEKg4IACoGCAowqKNmMKjdCjDGlx0,
23,Quebec mother Adele Sorella found guilty of second-degree murder in daughters\' deaths,neutral,https://news.google.com/articles/CBMibmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL25ld3NhbGVydC1xdWViZWMtbW90aGVyLWZvdW5kLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kYXVnaHRlcnMtZGVhdGhz0gG7AWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9uZXdzYWxlcnQtcXVlYmVjLW1vdGhlci1mb3VuZC1ndWlsdHktb2Ytc2Vjb25kLWRlZ3JlZS1tdXJkZXItaW4tZGF1Z2h0ZXJzLWRlYXRocy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
24,Jury finds Adele Sorella guilty of second-degree murder in deaths of young daughters,neutral,https://news.google.com/articles/CBMiemh0dHBzOi8vbW9udHJlYWwuY3R2bmV3cy5jYS9qdXJ5LWZpbmRzLWFkZWxlLXNvcmVsbGEtZ3VpbHR5LW9mLXNlY29uZC1kZWdyZWUtbXVyZGVyLWluLWRlYXRocy1vZi15b3VuZy1kYXVnaHRlcnMtMS40MzIxODc30gGGAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL21vbnRyZWFsLzIwMTkvMy80LzFfNDMyMTg3Ny5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
25,\'Something\'s missing and it\'s him\': Winnipeg family reeling after teen\'s death in random home invasion,neutral,https://news.google.com/articles/CAIiEM8siybYZF-9g_FykneYfJUqFggEKg4IACoGCAowqKNmMKjdCjDGlx0,
26,Winnipeg’s Filipino community mourns teen killed in random violent attack,neutral,https://news.google.com/articles/CAIiEBp1ZhLSKYHJ7RoYr2wDRTAqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU,
27,Dream shattered by murder - Canada News,neutral,https://news.google.com/articles/CBMiOWh0dHBzOi8vd3d3LmNhc3RhbmV0Lm5ldC9lZGl0aW9uL25ld3Mtc3RvcnktMjUwNzc0LTQtLmh0bdIBAA,
28,\'Loved by everybody\': Aunt says community shaken by teen\'s death,neutral,https://news.google.com/articles/CBMiY2h0dHBzOi8vd2lubmlwZWcuY3R2bmV3cy5jYS9sb3ZlZC1ieS1ldmVyeWJvZHktYXVudC1zYXlzLWNvbW11bml0eS1zaGFrZW4tYnktdGVlbi1zLWRlYXRoLTEuNDMyMzYyNNIBhgFodHRwczovL2JldGEtY3R2bmV3cy1jYS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2JldGEuY3R2bmV3cy5jYS9sb2NhbC93aW5uaXBlZy8yMDE5LzMvNS8xXzQzMjM2MjQuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
29,Trump claims \'presidential harassment\' over Dems corruption probe,neutral,https://news.google.com/articles/CAIiEIxcTIht_cYphT8QlCpPYMYqGQgEKhAIACoHCAowqeP_CjDdg_oCMMXe6QU,
30,US House committees launch sweeping Trump inquiries,neutral,https://news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3RydW1wLXByb2JlLWhvdXNlLWp1ZGljaWFyeS1yZXF1ZXN0cy1kb2N1bWVudHMtMS41MDQxOTg30gEA,
31,Trump blasts House Democrats\' \'fishing expedition\',neutral,https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNDc0NTE2MDHSAXlodHRwczovL3d3dy1iYmMtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmJiYy5jb20vbmV3cy9hbXAvd29ybGQtdXMtY2FuYWRhLTQ3NDUxNjAxP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
32,Doug Schoen: My advice to Democrats as they march toward impeachment (from someone who\'s been there),neutral,https://news.google.com/articles/CBMigAFodHRwczovL3d3dy5mb3huZXdzLmNvbS9vcGluaW9uL2RvdWctc2Nob2VuLW15LWFkdmljZS10by1kZW1vY3JhdHMtYXMtdGhleS1tYXJjaC10b3dhcmQtaW1wZWFjaG1lbnQtZnJvbS1zb21lb25lLXdob3MtYmVlbi10aGVyZdIBzAFodHRwczovL3d3dy1mb3huZXdzLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5mb3huZXdzLmNvbS9vcGluaW9uL2RvdWctc2Nob2VuLW15LWFkdmljZS10by1kZW1vY3JhdHMtYXMtdGhleS1tYXJjaC10b3dhcmQtaW1wZWFjaG1lbnQtZnJvbS1zb21lb25lLXdob3MtYmVlbi10aGVyZS5hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
33,House Democrats are weaponizing the process against Trump,neutral,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL29waW5pb24vaG91c2UtZGVtb2NyYXRzLWFyZS13ZWFwb25pemluZy10aGUtcHJvY2Vzcy1hZ2FpbnN0LXRydW1w0gGlAWh0dHBzOi8vd3d3LWZveG5ld3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmZveG5ld3MuY29tL29waW5pb24vaG91c2UtZGVtb2NyYXRzLWFyZS13ZWFwb25pemluZy10aGUtcHJvY2Vzcy1hZ2FpbnN0LXRydW1wLmFtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
34,Trudeau dismisses China report anonymously accusing Kovrig Spavor of espionage,neutral,https://news.google.com/articles/CAIiEPOH9UZLtD1_m6jO_w5pm5kqGQgEKhAIACoHCAow6f-ICzDjj4gDMKGZnwY,
35,Why Canada represented U.S. authorities’ ‘best chance’ to capture Huawei’s Meng Wanzhou,neutral,https://news.google.com/articles/CAIiEHt8gAxrEy1LEw_Qm5FUl3oqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF,
36,Ottawa to proceed with Meng extradition request Trudeau says as China accuses detained Canadians of spying,neutral,https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vd29ybGQvYXJ0aWNsZS1jaGluYS1hY2N1c2VzLWRldGFpbmVkLWNhbmFkaWFucy1vZi1zcHlpbmctZGF5cy1hZnRlci1odWF3ZWkv0gEA,
37,Trudeau dismisses China report anonymously accusing Kovrig Spavor of theft,neutral,https://news.google.com/articles/CBMimAFodHRwczovL3Rvcm9udG9zdW4uY29tL25ld3MvbmF0aW9uYWwvdHJ1ZGVhdS1kaXNtaXNzZXMtY2hpbmEtcmVwb3J0LWFub255bW91c2x5LWFjY3VzaW5nLWtvdnJpZy1zcGF2b3Itb2YtdGhlZnQvd2NtL2YyZmI5MGIwLTlhNDgtNDE1Zi05OTAzLTQyMDc5OTk1MzJjZNIB4wFodHRwczovL3Rvcm9udG9zdW4tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdG9yb250b3N1bi5jb20vbmV3cy9uYXRpb25hbC90cnVkZWF1LWRpc21pc3Nlcy1jaGluYS1yZXBvcnQtYW5vbnltb3VzbHktYWNjdXNpbmcta292cmlnLXNwYXZvci1vZi10aGVmdC93Y20vZjJmYjkwYjAtOWE0OC00MTVmLTk5MDMtNDIwNzk5OTUzMmNkL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
38,China Accuses Canadians Michael Kovrig And Michael Spavor Of Acting Together To Steal State Secrets,neutral,https://news.google.com/articles/CBMiWGh0dHBzOi8vd3d3Lmh1ZmZpbmd0b25wb3N0LmNhLzIwMTkvMDMvMDQvbWljaGFlbC1rb3ZyaWctbWljaGFlbC1zcGF2b3ItY2hpbmFfYV8yMzY4MzU4Mi_SAaYBaHR0cHM6Ly9tLWh1ZmZpbmd0b25wb3N0LWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbS5odWZmaW5ndG9ucG9zdC5jYS9hbXAvMjAxOS8wMy8wNC9taWNoYWVsLWtvdnJpZy1taWNoYWVsLXNwYXZvci1jaGluYV9hXzIzNjgzNTgyLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
39,Ilhan Omar\'s contentious comments prompt Democrats to craft anti-Semitism measure,neutral,https://news.google.com/articles/CBMidGh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2lsaGFuLW9tYXJzLWNvbnRlbnRpb3VzLWNvbW1lbnRzLXByb21wdC1kZW1vY3JhdHMtdG8tY3JhZnQtYW50aS1zZW1pdGlzbS1tZWFzdXJl0gHBAWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9pbGhhbi1vbWFycy1jb250ZW50aW91cy1jb21tZW50cy1wcm9tcHQtZGVtb2NyYXRzLXRvLWNyYWZ0LWFudGktc2VtaXRpc20tbWVhc3VyZS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
40,Dems to declare opposition to anti-Semitism as Trump targets Ilhan Omar comments,neutral,https://news.google.com/articles/CAIiEJTzli1YMoA3UZRWwLulV-8qGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU,
41,Lawmaker hopes Omar will grow and change after comments,neutral,https://news.google.com/articles/CCAiC1VFUWxwUkFnNFZBmAEB,
42,Democrats need to oust anti-Semite Ilhan Omar from the Foreign Affairs Committee,neutral,https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL29waW5pb24vZGVtb2NyYXRzLW5lZWQtdG8tb3VzdC1hbnRpLXNlbWl0ZS1pbGhhbi1vbWFyLWZyb20tdGhlLWZvcmVpZ24tYWZmYWlycy1jb21taXR0ZWXSAbwBaHR0cHM6Ly93d3ctZm94bmV3cy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuZm94bmV3cy5jb20vb3Bpbmlvbi9kZW1vY3JhdHMtbmVlZC10by1vdXN0LWFudGktc2VtaXRlLWlsaGFuLW9tYXItZnJvbS10aGUtZm9yZWlnbi1hZmZhaXJzLWNvbW1pdHRlZS5hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
43,I\'m Jewish and the hypocrisy of GOP islamophobes hounding Ilhan Omar is breathtaking | Opinion,neutral,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9pbGhhbi1vbWFyLWdvcC1hbnRpc2VtaXRpc20taXNyYWVsLWpld2lzaC0xMzUyNzk30gEA,
44,Dozens still missing after deadly tornado rips through Alabama,neutral,https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDE5LzAzL2RvemVucy1taXNzaW5nLWRlYWRseS10b3JuYWRvLXJpcHMtYWxhYmFtYS0xOTAzMDQyMTUwMjQ2MDYuaHRtbNIBtAFodHRwczovL3d3dy1hbGphemVlcmEtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmFsamF6ZWVyYS5jb20vYW1wL25ld3MvMjAxOS8wMy9kb3plbnMtbWlzc2luZy1kZWFkbHktdG9ybmFkby1yaXBzLWFsYWJhbWEtMTkwMzA0MjE1MDI0NjA2Lmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU,
45,Alabama\'s tornado dead range in age from 6 to 89,neutral,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmNwMjQuY29tL3dvcmxkL2FsYWJhbWEtcy10b3JuYWRvLWRlYWQtcmFuZ2UtaW4tYWdlLWZyb20tNi10by04OS0xLjQzMjI5MjnSAXlodHRwczovL2JldGEtY3AyNC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9iZXRhLmNwMjQuY29tL3dvcmxkLzIwMTkvMy81LzFfNDMyMjkyOS5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
46,\'MY LIFE IS GONE\': Son finds father\'s body in Alabama tornado wreckage,neutral,https://news.google.com/articles/CBMiX2h0dHBzOi8vY2Fub2UuY29tL25ld3Mvd29ybGQvbXktbGlmZS1pcy1nb25lLXNvbi1maW5kcy1mYXRoZXJzLWJvZHktaW4tYWxhYmFtYS10b3JuYWRvLXdyZWNrYWdl0gGlAWh0dHBzOi8vY2Fub2UtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvY2Fub2UuY29tL25ld3Mvd29ybGQvbXktbGlmZS1pcy1nb25lLXNvbi1maW5kcy1mYXRoZXJzLWJvZHktaW4tYWxhYmFtYS10b3JuYWRvLXdyZWNrYWdlL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
47,IDENTITIES: 23 confirmed dead, here are the names,neutral,https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5vYW5vdy5jb20vbmV3cy9sZWVfY291bnR5L2lkZW50aXRpZXMtY29uZmlybWVkLWRlYWQtaGVyZS1hcmUtdGhlLW5hbWVzL2FydGljbGVfOWI4YmQxNmUtM2Y2NC0xMWU5LTlhZDctMmYzYmJlOTY1NDZmLmh0bWzSAc4BaHR0cHM6Ly93d3ctb2Fub3ctY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3Lm9hbm93LmNvbS9uZXdzL2xlZV9jb3VudHkvaWRlbnRpdGllcy1jb25maXJtZWQtZGVhZC1oZXJlLWFyZS10aGUtbmFtZXMvYXJ0aWNsZV85YjhiZDE2ZS0zZjY0LTExZTktOWFkNy0yZjNiYmU5NjU0NmYuYW1wLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU
48,Man finds father’s body in Alabama tornado wreckage,neutral,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmNpdHluZXdzMTEzMC5jb20vMjAxOS8wMy8wNS9tYW4tZmluZHMtZmF0aGVycy1ib2R5LWluLWFsYWJhbWEtdG9ybmFkby13cmVja2FnZS_SAawBaHR0cHM6Ly93d3ctY2l0eW5ld3MxMTMwLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5jaXR5bmV3czExMzAuY29tLzIwMTkvMDMvMDUvbWFuLWZpbmRzLWZhdGhlcnMtYm9keS1pbi1hbGFiYW1hLXRvcm5hZG8td3JlY2thZ2UvYW1wLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ,
49,\'Speed camera ahead\': Google Maps adds photo radar warnings for drivers,neutral,https://news.google.com/articles/CBMiYWh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3NwZWVkLWNhbWVyYS1haGVhZC1nb29nbGUtbWFwcy1hZGQtcGhvdG8tcmFkYXItd2FybmluZ3MtZm9yLWRyaXZlcnPSAa4BaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3NwZWVkLWNhbWVyYS1haGVhZC1nb29nbGUtbWFwcy1hZGQtcGhvdG8tcmFkYXItd2FybmluZ3MtZm9yLWRyaXZlcnMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl,
